timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
00:00.000,-0.97,0.3474615979755333,-0.09,2.32,-9.89,-10.259005272400891
00:00.022,-0.97,0.449157675431787,-0.12,7.87,-20.45,-18.924248629115482
00:00.044,-0.94,0.5678030991307496,-0.12,8.06,-24.35,-26.732342720250887
00:00.066,-0.96,0.6864485228297122,-0.14,-7.39,-21.42,-43.567290014517106
00:00.088,-1.0,0.737296561557839,-0.24,-10.01,-18.37,-65.8062955691146
00:00.109,-1.01,0.6694991765870033,-0.23,-6.53,-9.4,-78.96487609148258
00:00.131,-1.06,0.6440751572229398,-0.2,3.6,-8.91,-90.28862146722012
00:00.153,-1.02,0.6779738497083577,-0.18,-6.47,-15.14,-100.50744786779698
00:00.175,-0.94,0.6949231959510666,-0.18,-14.04,-14.4,-102.46951610853685
00:00.197,-0.89,0.6525498303442943,-0.19,-20.57,-11.29,-99.60342325175644
00:00.219,-0.86,0.5932271184948129,-0.19,-15.99,-13.79,-101.8534400739018
00:00.241,-0.81,0.5932271184948129,-0.15,-10.99,-15.44,-99.97172957680999
00:00.263,-0.78,0.6440751572229398,-0.15,-6.59,-16.97,-102.99853792088649
00:00.286,-0.76,0.6694991765870033,-0.16,-3.54,-18.49,-98.74627398617726
00:00.308,-0.68,0.6864485228297122,-0.15,-4.46,-17.76,-97.3601029082484
00:00.330,-0.65,0.6610245034656488,-0.09,7.26,-13.37,-92.81989039213366
00:00.352,-0.63,0.6525498303442943,-0.09,25.21,-19.23,-97.40028178007242
00:00.374,-0.56,0.8220432927713837,-0.16,10.01,-23.56,-91.1457707327993
00:00.396,-0.43,0.8559419852568017,-0.15,-4.15,-9.46,-83.91357380447492
00:00.418,-0.48,0.7796699271646114,-0.11,-14.1,-3.23,-83.70598296671746
00:00.440,-0.43,0.7457712346791935,-0.12,-18.62,-8.79,-84.27518365089112
00:00.462,-0.3,0.737296561557839,-0.15,-12.63,-3.91,-82.35999076061263
00:00.484,-0.28,0.7457712346791935,-0.13,-4.76,0.61,-77.00280785074271
00:00.506,-0.26,0.8135686196500292,-0.15,-4.64,-2.75,-74.34430583171977
00:00.528,-0.17,0.8305179658927382,-0.17,-10.86,-1.89,-71.52508832540073
00:00.550,-0.12,0.8135686196500292,-0.17,-5.25,1.04,-74.18359034442368
00:00.572,-0.09,0.7966192734073203,-0.16,-16.11,-0.61,-71.97375239410233
00:00.594,-0.02,0.7796699271646114,-0.18,-11.17,1.1,-70.86883341894166
00:00.616,-0.02,0.7627205809219024,-0.17,-1.22,1.22,-67.19246664704343
00:00.638,0.03,0.8050939465286747,-0.19,-12.57,-3.3,-67.44023635662491
00:00.660,0.09,0.8135686196500292,-0.2,-4.03,-2.32,-67.31300326251551
00:00.682,0.1,0.7627205809219024,-0.18,4.64,-3.66,-63.43574213149716
00:00.704,0.17,0.8135686196500292,-0.21,1.16,-5.43,-65.35763150041298
00:00.726,0.21,0.8220432927713837,-0.19,-5.13,-2.01,-64.29289139707635
00:00.748,0.21,0.771195254043257,-0.19,-2.14,-2.08,-62.900023840510165
00:00.770,0.27,0.737296561557839,-0.19,0.73,-5.62,-61.71474712170144
00:00.792,0.31,0.7881446002859659,-0.2,-1.53,-3.66,-61.43349501893327
00:00.814,0.3,0.8135686196500292,-0.19,-5.37,-2.5,-61.306261924823865
00:00.836,0.35,0.771195254043257,-0.18,-7.26,-5.31,-60.161164077839175
00:00.858,0.41,0.7457712346791935,-0.19,-10.31,-5.0,-60.857597856122254
00:00.880,0.44,0.737296561557839,-0.21,-19.59,-1.83,-60.81741898429823
00:00.902,0.44,0.6949231959510666,-0.21,-22.46,-2.5,-59.59196339366549
00:00.924,0.48,0.6610245034656488,-0.2,-18.92,-4.03,-57.30176769969609
00:00.946,0.51,0.6356004841015853,-0.19,-18.55,-4.03,-55.05175087755073
00:00.968,0.54,0.6186511378588764,-0.17,-18.43,-2.44,-52.80843053404271
00:00.990,0.56,0.6186511378588764,-0.19,-21.0,-2.5,-51.495920721124584
00:01.012,0.57,0.610176464737522,-0.2,-18.07,-2.62,-49.29277924944057
00:01.034,0.61,0.5678030991307496,-0.19,-14.59,-3.91,-45.93784345213454
00:01.056,0.65,0.6017017916161674,-0.21,-14.47,-3.05,-46.10525541806797
00:01.078,0.65,0.6186511378588764,-0.2,-34.97,-1.1,-45.40882163978489
00:01.100,0.62,0.5169550604026227,-0.25,-32.84,-4.15,-42.917731586695375
00:01.122,0.67,0.3898349635823057,-0.23,-13.85,-8.61,-34.252488229980784
00:01.144,0.74,0.4406830023104325,-0.2,-12.45,-7.93,-32.21006224559288
00:01.166,0.72,0.5423790797666862,-0.22,-19.78,-2.99,-36.54268392395017
00:01.188,0.69,0.5423790797666862,-0.23,-26.18,-6.35,-31.754701698253935
00:01.210,0.75,0.4830563679172048,-0.21,-32.65,-7.02,-28.326104635937185
00:01.232,0.78,0.449157675431787,-0.17,-36.62,-5.13,-27.589491985830076
00:01.254,0.73,0.3813602904609512,-0.2,-46.26,-3.17,-20.598368288449834
00:01.276,0.72,0.27966421300469757,-0.2,-39.37,-5.19,-11.933124931735241
00:01.298,0.73,0.19491748179115284,-0.2,-17.88,-5.49,-0.6562549064590648
00:01.320,0.75,0.22881617427657075,-0.19,1.71,-0.55,9.729983460051237
00:01.342,0.68,0.3305122517328244,-0.2,17.4,4.76,19.252376082345016
00:01.364,0.66,0.3898349635823057,-0.2,25.02,2.69,29.96004542344751
00:01.386,0.71,0.449157675431787,-0.18,15.08,-0.06,38.50475216469003
00:01.408,0.75,0.5339044066453317,-0.2,-14.65,2.38,40.2190506958484
00:01.430,0.72,0.4830563679172048,-0.21,-26.37,7.08,40.25922956767243
00:01.452,0.73,0.4830563679172048,-0.2,-13.61,3.91,43.07844707399147
00:01.474,0.75,0.47458169479585044,-0.2,-14.1,4.94,44.511493502381676
00:01.496,0.7,0.4152589829463691,-0.22,-12.51,7.87,48.92447292438702
00:01.518,0.63,0.4152589829463691,-0.26,-4.58,13.73,55.99595436541531
00:01.540,0.58,0.4576323485531415,-0.21,11.35,14.95,60.81741898429823
00:01.562,0.55,0.5508537528880406,-0.19,6.47,13.85,65.397810372237
00:01.584,0.48,0.6440751572229398,-0.26,8.36,16.17,67.48041522844893
00:01.606,0.44,0.6949231959510666,-0.29,3.05,14.22,69.27507150325536
00:01.628,0.45,0.6779738497083577,-0.25,-7.39,18.92,71.81303690680623
00:01.650,0.39,0.6356004841015853,-0.23,-11.05,21.91,73.7751051475461
00:01.672,0.33,0.6864485228297122,-0.27,-7.81,25.51,74.75279102859736
00:01.694,0.28,0.7627205809219024,-0.26,-3.17,23.93,75.817531131934
00:01.716,0.27,0.7457712346791935,-0.26,-10.25,24.66,79.04523383513063
00:01.738,0.24,0.6864485228297122,-0.25,-4.52,29.05,79.66130986976566
00:01.760,0.14,0.8135686196500292,-0.29,12.27,29.54,76.9626289789187
00:01.782,0.12,0.9830620820771186,-0.25,5.86,26.55,74.0630537289516
00:01.804,0.14,0.8474673121354471,-0.25,-26.55,24.96,75.89788887558205
00:01.826,0.11,0.6610245034656488,-0.3,-25.27,32.29,76.18583745698756
00:01.848,-0.04,0.6864485228297122,-0.29,8.18,37.9,74.96038186635481
00:01.870,-0.14,0.9067900239849285,-0.28,30.94,30.76,73.28626220702047
00:01.892,-0.09,1.0593341401693088,-0.32,-1.46,26.25,70.25945386294396
00:01.914,-0.07,0.9661127358344096,-0.36,-33.26,26.06,67.64113071574505
00:01.936,-0.16,0.6864485228297122,-0.35,-5.74,26.55,71.81303690680623
00:01.958,-0.21,0.737296561557839,-0.27,1.46,27.34,68.78622856272973
00:01.980,-0.26,0.8644166583781561,-0.3,18.25,16.6,66.45585399693631
00:02.002,-0.25,0.881366004620865,-0.3,2.75,16.05,70.62776018799752
00:02.024,-0.26,0.7881446002859659,-0.32,-8.3,14.95,68.70587081908168
00:02.046,-0.32,0.7627205809219024,-0.3,-10.25,17.46,70.13891724747188
00:02.068,-0.35,0.7796699271646114,-0.23,-19.23,19.59,69.77061092241833
00:02.090,-0.38,0.6949231959510666,-0.29,-13.24,18.74,70.91570876940303
00:02.112,-0.48,0.7033978690724211,-0.3,-2.38,22.71,74.47153892582918
00:02.133,-0.6,0.881366004620865,-0.31,-6.29,13.49,68.0094370407986
00:02.155,-0.55,0.898315350863574,-0.29,-16.3,8.79,63.43574213149716
00:02.177,-0.55,0.7288218884364845,-0.29,-18.01,11.29,64.17235478160427
00:02.199,-0.63,0.7033978690724211,-0.32,-12.7,10.19,63.88440620019877
00:02.221,-0.66,0.7457712346791935,-0.32,6.71,6.29,61.26608305299984
00:02.243,-0.66,0.771195254043257,-0.25,7.93,5.07,55.62764804036175
00:02.265,-0.65,0.7288218884364845,-0.25,-0.79,2.81,51.45574184930056
00:02.287,-0.65,0.6525498303442943,-0.26,-4.7,3.6,51.95128126846352
00:02.309,-0.71,0.6271258109802309,-0.28,-0.12,4.03,50.190107386843785
00:02.331,-0.73,0.6356004841015853,-0.27,12.39,2.26,46.594098358593605
00:02.353,-0.74,0.6694991765870033,-0.27,8.36,0.79,41.236915448723686
00:02.375,-0.75,0.6949231959510666,-0.23,-1.34,1.1,36.66322053942225
00:02.397,-0.75,0.6440751572229398,-0.24,-10.13,0.73,37.848497258230964
00:02.419,-0.72,0.5762777722521041,-0.27,-27.77,3.42,37.848497258230964
00:02.441,-0.73,0.5254297335239773,-0.23,-31.31,9.64,39.40208030209324
00:02.463,-0.78,0.449157675431787,-0.23,-24.9,12.08,43.60746888634113
00:02.485,-0.81,0.4152589829463691,-0.24,-11.47,11.47,39.522616917565315
00:02.507,-0.85,0.4406830023104325,-0.27,0.98,10.01,39.562795789389334
00:02.529,-0.86,0.46610702167449597,-0.28,5.92,10.56,39.643153533037385
00:02.551,-0.88,0.4406830023104325,-0.26,11.54,9.95,38.54493103651406
00:02.573,-0.92,0.3898349635823057,-0.27,17.4,5.68,37.727960642758894
00:02.595,-0.93,0.3898349635823057,-0.25,25.94,2.2,35.310531854680086
00:02.617,-0.92,0.39830963670366015,-0.24,27.83,1.4,33.34846361394023
00:02.639,-0.91,0.3898349635823057,-0.24,29.85,4.7,34.04489739222333
00:02.661,-0.91,0.3898349635823057,-0.21,29.85,8.67,35.63865930790962
00:02.683,-0.93,0.3898349635823057,-0.2,26.67,8.79,35.06945862373594
00:02.705,-0.93,0.4067843098250146,-0.19,20.51,7.14,32.859620673414604
00:02.727,-0.91,0.4067843098250146,-0.2,13.67,7.32,30.8171946890267
00:02.749,-0.91,0.37288561733959674,-0.19,17.58,10.07,29.2234327733404
00:02.771,-0.94,0.3474615979755333,-0.19,23.62,9.77,29.263611645164424
