timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
00:00.000,-0.93,0.28631994306616176,-0.1,10.86,-0.67,0.23891796813539407
00:00.022,-0.93,0.3239936197853936,-0.1,11.05,-0.67,-0.9864999974622722
00:00.044,-0.92,0.3692020318484718,-0.08,6.04,0.12,-5.171417955446755
00:00.066,-0.93,0.39934097322385725,-0.13,-0.43,-1.34,-16.747378863168105
00:00.088,-0.93,0.4445493852869354,-0.12,-16.6,-4.88,-32.22309757335751
00:00.109,-0.97,0.4822230620061672,-0.12,-22.28,-9.4,-47.56008972140376
00:00.131,-0.96,0.49729253269386,-0.14,-5.19,-11.11,-60.307519376111564
00:00.153,-0.95,0.5048272680377063,-0.17,-8.48,-12.63,-65.71785529969371
00:00.175,-0.92,0.5048272680377063,-0.16,-5.37,-12.15,-72.34590215764337
00:00.197,-0.92,0.5048272680377063,-0.16,7.75,-11.78,-76.86222245852532
00:00.219,-0.93,0.5349662094130917,-0.2,3.85,-15.99,-80.53076932408814
00:00.241,-0.87,0.5726398861323235,-0.18,-9.4,-13.37,-85.80237868552716
00:00.263,-0.86,0.5801746214761699,-0.13,-18.31,-9.34,-87.77537868045171
00:00.286,-0.88,0.5500356801007844,-0.12,-18.55,-11.05,-91.53640992077662
00:00.308,-0.86,0.5349662094130917,-0.13,-6.71,-16.66,-95.77527709737232
00:00.330,-0.81,0.5651051507884772,-0.14,8.06,-18.92,-98.88121068313245
00:00.352,-0.79,0.6329177688830945,-0.13,6.16,-19.9,-101.65574192599509
00:00.374,-0.73,0.6705914456023263,-0.14,8.0,-18.49,-101.84071067551925
00:00.396,-0.69,0.6555219749146336,-0.15,15.38,-18.13,-110.02557784196404
00:00.418,-0.65,0.7007303869777117,-0.14,12.76,-17.21,-108.1450622218016
00:00.440,-0.59,0.7384040636969436,-0.15,-4.33,-16.11,-103.4900153587765
00:00.462,-0.54,0.708265122321558,-0.14,1.04,-14.53,-107.38977316124455
00:00.484,-0.5,0.6705914456023263,-0.15,5.07,-16.3,-106.07187082088478
00:00.506,-0.42,0.7157998576654044,-0.15,10.07,-14.65,-107.76741769152308
00:00.528,-0.37,0.7911472111038681,-0.15,-6.16,-10.01,-107.43601534862559
00:00.550,-0.33,0.7836124757600218,-0.16,-8.61,-5.68,-106.68843331929871
00:00.572,-0.29,0.708265122321558,-0.14,-8.0,-3.48,-104.90040207389835
00:00.594,-0.25,0.7308693283530971,-0.15,1.71,-8.12,-107.58244894199889
00:00.616,-0.17,0.7986819464477145,-0.14,0.0,-6.35,-108.19130440918264
00:00.638,-0.14,0.7836124757600218,-0.15,-0.12,-5.25,-107.53620675461785
00:00.660,-0.06,0.7233345930092507,-0.15,-1.83,-5.68,-106.17206222687705
00:00.682,-0.03,0.7157998576654044,-0.15,0.98,-4.15,-106.02562863350374
00:00.704,0.01,0.7760777404161754,-0.14,9.77,-4.39,-107.06607784957723
00:00.726,0.07,0.8062166817915608,-0.15,2.99,-5.37,-107.15856222433932
00:00.748,0.16,0.7007303869777117,-0.11,-0.67,-3.91,-106.7809176940608
00:00.770,0.19,0.5726398861323235,-0.11,23.5,-2.08,-102.82721067298152
00:00.792,0.23,0.6103135628515555,-0.11,28.38,-3.48,-94.78877709991005
00:00.814,0.31,0.7760777404161754,-0.14,3.91,0.37,-97.79451927967791
00:00.836,0.3,0.7459387990407899,-0.12,-20.39,6.53,-99.30509740079201
00:00.858,0.3,0.5801746214761699,-0.08,-20.94,0.92,-95.72903490999127
00:00.880,0.41,0.5048272680377063,-0.13,-27.1,-0.06,-88.57690992838981
00:00.902,0.46,0.49729253269386,-0.16,-23.25,5.25,-87.91410524259483
00:00.924,0.46,0.4822230620061672,-0.18,-16.85,6.29,-80.81592947960458
00:00.946,0.51,0.48975779735001357,-0.18,-12.57,4.94,-72.34590215764337
00:00.968,0.57,0.5048272680377063,-0.15,-14.77,2.87,-67.8295818567614
00:00.990,0.61,0.5048272680377063,-0.16,-28.14,4.21,-64.11479280381752
00:01.012,0.59,0.45208412063078174,-0.17,-33.14,3.23,-56.916425634835
00:01.034,0.64,0.3692020318484718,-0.16,-28.26,0.37,-48.97047643652561
00:01.056,0.67,0.354132561160779,-0.16,-24.6,0.24,-39.46770692972106
00:01.078,0.68,0.4068757085677036,-0.17,-32.23,0.67,-34.149855380901
00:01.100,0.66,0.4294799145992426,-0.2,-44.19,-0.85,-27.52180852295136
00:01.122,0.67,0.354132561160779,-0.16,-48.58,-2.81,-17.07878120606559
00:01.144,0.7,0.25618100169077634,-0.14,-37.41,-2.87,-3.152175773141167
00:01.166,0.69,0.17329891290846636,-0.12,-24.66,-1.53,13.07883199760528
00:01.188,0.67,0.15069470687692726,-0.17,-12.02,0.37,28.13066399013511
00:01.210,0.63,0.23357679565923725,-0.18,3.54,3.72,44.16899598012721
00:01.232,0.61,0.3692020318484718,-0.17,6.47,4.46,55.88368344999169
00:01.254,0.6,0.45208412063078174,-0.16,2.26,4.46,64.58492170885813
00:01.276,0.57,0.48975779735001357,-0.18,-0.79,6.35,72.34590215764337
00:01.298,0.53,0.4219451792553964,-0.18,-0.85,7.51,81.66370291492372
00:01.320,0.49,0.39934097322385725,-0.2,33.51,9.95,90.22621461164704
00:01.342,0.44,0.5123620033815527,-0.11,71.72,7.93,99.1586638074187
00:01.364,0.43,0.6555219749146336,-0.1,45.53,5.19,98.17216380995643
00:01.386,0.41,0.7007303869777117,-0.18,10.31,7.87,93.70208569645551
00:01.408,0.35,0.685660916290019,-0.2,-2.81,11.29,97.79451927967791
00:01.430,0.31,0.6781261809461726,-0.16,-8.97,12.63,96.24540600241293
00:01.452,0.31,0.6705914456023263,-0.12,-12.63,14.16,93.27819897879594
00:01.474,0.24,0.7007303869777117,-0.15,-5.07,14.4,91.49016773339557
00:01.496,0.2,0.6705914456023263,-0.17,-6.1,10.86,96.00648803427754
00:01.518,0.17,0.6178482981954017,-0.18,3.6,13.67,99.91395286797575
00:01.540,0.08,0.7007303869777117,-0.15,20.81,19.47,95.77527709737232
00:01.562,-0.04,0.8288208878230999,-0.16,-5.13,14.71,100.99293724020012
00:01.584,-0.01,0.8288208878230999,-0.23,-26.18,15.75,94.21845678887718
