timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
00:00.000,-0.97,0.2933139423505274,-0.09,2.32,-9.89,-11.03781261512199
00:00.022,-0.97,0.37916192547751104,-0.12,7.87,-20.45,-20.360873662098395
00:00.044,-0.94,0.4793179057923253,-0.12,8.06,-24.35,-28.76171537830743
00:00.066,-0.96,0.5794738861071396,-0.14,-7.39,-21.42,-46.87467942166035
00:00.088,-1.0,0.6223978776706314,-0.24,-10.01,-18.37,-70.80194815196069
00:00.109,-1.01,0.565165888919309,-0.23,-6.53,-9.4,-84.95945584694418
00:00.131,-1.06,0.5437038931375631,-0.2,3.6,-8.91,-97.14283778700378
00:00.153,-1.02,0.5723198875132243,-0.18,-6.47,-15.14,-108.13742137099604
00:00.175,-0.94,0.5866278847010548,-0.18,-14.04,-14.4,-110.24843905783074
00:00.197,-0.89,0.5508578917314784,-0.19,-20.57,-11.29,-107.16476817057733
00:00.219,-0.86,0.5007799015740712,-0.19,-15.99,-13.79,-109.58559391384168
00:00.241,-0.81,0.5007799015740712,-0.15,-10.99,-15.44,-107.56103428926643
00:00.263,-0.78,0.5437038931375631,-0.15,-6.59,-16.97,-110.81762130103871
00:00.286,-0.76,0.565165888919309,-0.16,-3.54,-18.49,-106.24254883980996
00:00.308,-0.68,0.5794738861071396,-0.15,-4.46,-17.76,-104.75114726583459
00:00.330,-0.65,0.5580118903253937,-0.09,7.26,-13.37,-99.86626674817617
00:00.352,-0.63,0.5508578917314784,-0.09,25.21,-19.23,-104.7943762969643
00:00.374,-0.56,0.6939378636097844,-0.16,10.01,-23.56,-98.06505711777115
00:00.396,-0.43,0.7225538579854456,-0.15,-4.15,-9.46,-90.28383151442144
00:00.418,-0.48,0.6581678706402079,-0.11,-14.1,-3.23,-90.06048152025122
00:00.440,-0.43,0.6295518762645467,-0.12,-18.62,-8.79,-90.67289279458892
00:00.462,-0.3,0.6223978776706314,-0.15,-12.63,-3.91,-88.61230897740558
00:00.484,-0.28,0.6295518762645467,-0.13,-4.76,0.61,-82.8484381601095
00:00.506,-0.26,0.6867838650158691,-0.15,-4.64,-2.75,-79.98811726702631
00:00.528,-0.17,0.7010918622036997,-0.17,-10.86,-1.89,-76.95488024942426
00:00.550,-0.12,0.6867838650158691,-0.17,-5.25,1.04,-79.81520114250743
00:00.572,-0.09,0.6724758678280385,-0.16,-16.11,-0.61,-77.4376044303728
00:00.594,-0.02,0.6581678706402079,-0.18,-11.17,1.1,-76.24880607430549
00:00.616,-0.02,0.6438598734523773,-0.17,-1.22,1.22,-72.29334972593605
00:00.638,0.03,0.6796298664219538,-0.19,-12.57,-3.3,-72.559928751236
00:00.660,0.09,0.6867838650158691,-0.2,-4.03,-2.32,-72.42303681932522
00:00.682,0.1,0.6438598734523773,-0.18,4.64,-3.66,-68.25143531530718
00:00.704,0.17,0.6867838650158691,-0.21,1.16,-5.43,-70.31922397101215
00:00.726,0.21,0.6939378636097844,-0.19,-5.13,-2.01,-69.17365464607455
00:00.748,0.21,0.6510138720462926,-0.19,-2.14,-2.08,-67.67504823357758
00:00.770,0.27,0.6223978776706314,-0.19,0.73,-5.62,-66.39979181525081
00:00.792,0.31,0.6653218692341232,-0.2,-1.53,-3.66,-66.09718859734276
00:00.814,0.3,0.6867838650158691,-0.19,-5.37,-2.5,-65.96029666543198
00:00.836,0.35,0.6510138720462926,-0.18,-7.26,-5.31,-64.72826927823496
00:00.858,0.41,0.6295518762645467,-0.19,-10.31,-5.0,-65.47757248448345
00:00.880,0.44,0.6223978776706314,-0.21,-19.59,-1.83,-65.43434345335372
00:00.902,0.44,0.5866278847010548,-0.21,-22.46,-2.5,-64.11585800389724
00:00.924,0.48,0.5580118903253937,-0.2,-18.92,-4.03,-61.651803229503166
00:00.946,0.51,0.5365498945436478,-0.19,-18.55,-4.03,-59.230977486238814
00:00.968,0.54,0.522241897355817,-0.17,-18.43,-2.44,-56.817356581496085
00:00.990,0.56,0.522241897355817,-0.19,-21.0,-2.5,-55.40520823125855
00:01.012,0.57,0.5150878987619018,-0.2,-18.07,-2.62,-53.03481635764553
