timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
00:00.000,-0.97,0.2926511112367287,-0.09,2.32,-9.89,-10.867152269822956
00:00.022,-0.97,0.3783050950133323,-0.12,7.87,-20.45,-20.046065479451485
00:00.044,-0.94,0.4782347427527031,-0.12,8.06,-24.35,-28.3170181861183
00:00.066,-0.96,0.5781643904920739,-0.14,-7.39,-21.42,-46.14992993960062
00:00.088,-1.0,0.6209913823803757,-0.24,-10.01,-18.37,-69.70724892659933
00:00.109,-1.01,0.5638887265293067,-0.23,-6.53,-9.4,-83.64586133534745
00:00.131,-1.06,0.5424752305851557,-0.2,3.6,-8.91,-95.64087079244315
00:00.153,-1.02,0.5710265585106903,-0.18,-6.47,-15.14,-106.46546241368978
00:00.175,-0.94,0.5853022224734574,-0.18,-14.04,-14.4,-108.54384075250057
00:00.197,-0.89,0.5496130625665393,-0.19,-20.57,-11.29,-105.50784782072235
00:00.219,-0.86,0.49964823869685393,-0.19,-15.99,-13.79,-107.89124414099683
00:00.241,-0.81,0.49964823869685393,-0.15,-10.99,-15.44,-105.89798709933869
00:00.263,-0.78,0.5424752305851557,-0.15,-6.59,-16.97,-109.10422262542224
00:00.286,-0.76,0.5638887265293067,-0.16,-3.54,-18.49,-104.59988731776065
00:00.308,-0.68,0.5781643904920739,-0.15,-4.46,-17.76,-103.13154494187724
00:00.330,-0.65,0.556750894547923,-0.09,7.26,-13.37,-98.32219165275195
00:00.352,-0.63,0.5496130625665393,-0.09,25.21,-19.23,-103.17410559045356
00:00.374,-0.56,0.6923697021942119,-0.16,10.01,-23.56,-96.54883129540487
00:00.396,-0.43,0.7209210301197464,-0.15,-4.15,-9.46,-88.88791455166543
00:00.418,-0.48,0.6566805422872938,-0.11,-14.1,-3.23,-88.6680178673544
00:00.440,-0.43,0.6281292143617593,-0.12,-18.62,-8.79,-89.2709603888524
00:00.462,-0.3,0.6209913823803757,-0.15,-12.63,-3.91,-87.24223614004734
00:00.484,-0.28,0.6281292143617593,-0.13,-4.76,0.61,-81.56748299653665
00:00.506,-0.26,0.6852318702128283,-0.15,-4.64,-2.75,-78.75138674906948
00:00.528,-0.17,0.6995075341755955,-0.17,-10.86,-1.89,-75.76504790729699
00:00.550,-0.12,0.6852318702128283,-0.17,-5.25,1.04,-78.58114415476416
00:00.572,-0.09,0.6709562062500609,-0.16,-16.11,-0.61,-76.240308483066
00:00.594,-0.02,0.6566805422872938,-0.18,-11.17,1.1,-75.06989064721692
00:00.616,-0.02,0.6424048783245265,-0.17,-1.22,1.22,-71.17559130248273
00:00.638,0.03,0.6780940382314447,-0.19,-12.57,-3.3,-71.43804863537008
00:00.660,0.09,0.6852318702128283,-0.2,-4.03,-2.32,-71.30327324821171
00:00.682,0.1,0.6424048783245265,-0.18,4.64,-3.66,-67.19617066059585
00:00.704,0.17,0.6852318702128283,-0.21,1.16,-5.43,-69.2319883508303
00:00.726,0.21,0.6923697021942119,-0.19,-5.13,-2.01,-68.10413116355757
