timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
00:00.000,-0.95,0.042123956313435955,-0.09,-12.57,7.87,19.36991289853401
00:00.022,-0.96,0.09267270388955909,-0.1,-19.47,11.78,21.241040496924082
00:00.044,-1.02,0.16007103399105663,-0.12,-29.17,13.49,19.092986013972283
00:00.066,-1.06,0.16007103399105663,-0.14,-31.19,9.7,14.392713486816424
00:00.088,-1.07,0.05897353883881034,-0.16,-21.42,1.34,7.312366654508396
00:00.109,-1.09,-0.00842479126268719,-0.2,5.0,-5.68,-3.9293679566191484
00:00.131,-1.09,0.02527437378806157,-0.21,32.96,-11.96,-16.031821263006126
00:00.153,-1.06,0.1516462427283694,-0.24,39.67,-18.68,-23.389094979875885
00:00.175,-1.01,0.21061978156717975,-0.27,36.99,-21.06,-24.212391123167517
00:00.197,-1.0,0.17692061651643098,-0.32,34.12,-22.71,-23.710928926798978
00:00.219,-1.04,0.09267270388955909,-0.35,38.88,-31.98,-31.015811070913813
00:00.241,-1.11,0.10109749515224628,-0.42,67.08,-42.85,-46.41144895046731
00:00.263,-1.19,0.23589415535524136,-0.43,96.07,-51.39,-64.50151057170252
00:00.286,-1.23,0.38754039808361074,-0.38,104.68,-66.83,-84.1034432924369
00:00.308,-1.16,0.4212395631343595,-0.36,98.33,-77.21,-95.33769339317088
00:00.330,-1.08,0.4380891456597339,-0.31,75.26,-78.67,-98.35395108177568
00:00.352,-1.13,0.4128147718716723,-0.44,90.27,-87.52,-111.18988640673156
00:00.374,-1.18,0.5223370582866058,-0.39,106.63,-84.9,-138.68797759267204
00:00.396,-1.17,0.7329568398537856,-0.35,91.61,-93.69,-154.36054235678728
00:00.418,-1.02,0.8593287087940934,-0.39,65.73,-97.35,-158.9710007592204
00:00.440,-0.89,0.8256295437433446,-0.42,44.07,-81.67,-155.5954865717247
00:00.462,-0.95,0.7835055874299087,-0.4,42.72,-71.35,-153.08069107948847
00:00.484,-0.97,0.7413816311164727,-0.39,52.25,-80.32,-162.94527577820094
00:00.506,-0.88,0.7329568398537856,-0.34,77.03,-80.81,-175.01030653262012
00:00.528,-0.8,0.8172047524806574,-0.26,100.71,-76.72,-185.7880014993469
00:00.550,-0.7,0.9183022476329038,-0.19,108.7,-74.04,-194.88168162752265
00:00.572,-0.59,0.9941253689970884,-0.16,116.15,-59.88,-195.83969895789838
00:00.594,-0.48,1.0530989078358988,-0.09,95.28,-41.81,-194.37273492076054
00:00.616,-0.45,1.0867980728866475,-0.07,49.26,-34.73,-192.7785342069322
00:00.638,-0.24,0.9098774563702166,-0.11,32.96,-24.11,-176.6494143088098
00:00.660,-0.09,0.7919303786925959,-0.14,20.39,-21.91,-164.31494118022243
00:00.682,0.05,0.8340543350060318,-0.15,9.03,-7.26,-160.11613084943514
00:00.704,0.08,0.9098774563702166,-0.11,3.66,11.54,-154.36054235678728
00:00.726,0.06,0.8593287087940934,-0.08,5.07,11.47,-139.33164548651823
00:00.748,0.12,0.8172047524806574,-0.06,2.32,-2.2,-132.84257497530146
00:00.770,0.2,0.8677535000567806,-0.12,-12.33,0.0,-136.4501089849975
00:00.792,0.21,0.9014526651075294,-0.15,-24.9,15.93,-131.51781663564128
00:00.814,0.16,0.7835055874299087,-0.15,-24.72,14.71,-117.35712297102525
00:00.836,0.13,0.6487089272269136,-0.19,-11.66,4.09,-114.29595822005909
00:00.858,0.18,0.6150097621761649,-0.19,-0.31,-6.53,-123.20252558839583
00:00.880,0.31,0.6065849709134776,-0.15,3.54,-15.14,-124.66200511514008
00:00.902,0.42,0.5560362233373546,-0.13,10.07,-17.46,-112.83647869331482
00:00.924,0.53,0.4717883107104827,-0.11,15.2,-14.28,-99.6338023590745
00:00.946,0.64,0.4549387281851083,-0.08,11.96,-11.6,-93.69110110658762
00:00.968,0.64,0.4212395631343595,-0.1,2.62,6.35,-82.00029587184646
00:00.990,0.51,0.311717276719426,-0.06,4.15,3.48,-55.68475732808851
00:01.012,0.46,0.20219499030449256,-0.06,8.91,-19.17,-23.29928085515316
00:01.034,0.51,0.10952228641493347,-0.08,5.55,-28.26,-4.662849975188057
00:01.056,0.57,-0.10952228641493347,-0.09,37.17,-26.0,6.945625645223942
00:01.078,0.42,-0.2695933204059901,-0.09,74.89,-42.18,97.1639139291996
00:01.100,0.6,0.06739833010149753,0.06,39.79,-24.05,59.89105216926938
00:01.122,0.33,-0.37069081555823635,0.01,114.62,19.53,-31.42745914255963
00:01.144,0.7,0.042123956313435955,0.08,114.14,19.47,-3.652441072057418
00:01.166,0.38,0.2527437378806157,0.15,72.08,36.5,-33.02914436678153
00:01.188,0.32,0.32014206798211325,0.06,-24.72,11.9,-55.41531495392034
00:01.210,0.37,0.2864429029313645,0.05,-101.81,-15.5,-24.53422507009061
00:01.232,0.52,0.14322145146568224,0.03,-142.33,-18.92,27.131350176656024
00:01.254,0.64,-0.01684958252537438,-0.01,-124.57,-4.7,64.63623175878661
00:01.276,0.58,-0.042123956313435955,0.0,-57.8,33.2,85.1961818098967
00:01.298,0.45,0.0758231213641847,-0.04,3.72,44.19,104.79063002023751
00:01.320,0.39,0.311717276719426,0.0,34.42,52.49,122.97799027658901
00:01.342,0.28,0.5644610146000417,0.02,33.87,70.5,127.9551896883066
00:01.364,0.18,0.7161072573284112,0.08,10.19,60.73,120.59791597143683
00:01.386,0.22,0.7582312136418471,0.09,-22.4,51.39,125.39548713370898
00:01.408,0.18,0.7750807961672215,-0.05,-39.06,62.99,148.97169487342387
00:01.430,0.06,0.7413816311164727,0.0,-42.24,90.21,161.71033156326348
00:01.452,-0.03,0.6487089272269136,0.02,-35.83,85.33,162.0321655101866
00:01.474,-0.09,0.7076824660657239,-0.3,-3.11,70.92,159.7044827777893
00:01.496,-0.09,0.884603082582155,-0.18,15.08,85.27,157.3768000453921
00:01.518,-0.23,0.9098774563702166,-0.04,1.16,93.51,161.20886936689493
00:01.540,-0.37,0.8509039175314063,-0.19,7.57,65.73,171.35038095016913
00:01.562,-0.34,0.9183022476329038,-0.16,7.08,64.15,169.43434628941768
00:01.584,-0.39,1.0025501602597755,-0.31,-14.04,66.16,167.92995970031208
00:01.606,-0.45,1.0699484903612733,-0.45,-34.06,79.71,174.73337964805836
00:01.628,-0.5,0.977275786471714,-0.22,-69.58,97.78,175.8785097382731
00:01.650,-0.75,0.8340543350060318,-0.19,-81.24,92.35,182.81665087310347
00:01.672,-0.97,0.9520014126836523,-0.49,-63.96,68.36,186.65620470499988
00:01.694,-0.97,1.0109749515224629,-0.44,-71.96,66.65,146.86854745283344
00:01.716,-0.92,0.9014526651075294,-0.37,-84.78,62.07,135.12535064533733
00:01.738,-0.92,0.7835055874299087,-0.37,-76.05,64.82,151.7559327398283
00:01.760,-1.02,0.6992576748030368,-0.39,-69.03,80.57,137.0937768788437
00:01.782,-1.16,0.6824080922776624,-0.35,-77.27,68.24,128.1797250001134
00:01.804,-1.17,0.6739833010149753,-0.38,-87.34,53.65,121.74304606165155
00:01.826,-1.11,0.6487089272269136,-0.35,-108.52,47.67,111.1449793443702
00:01.848,-1.09,0.5223370582866058,-0.29,-128.05,47.91,110.86805245980847
00:01.870,-1.17,0.16007103399105663,-0.36,-79.96,30.09,122.06488000857466
00:01.892,-1.27,-0.20219499030449256,-0.57,26.79,-6.53,128.08991087539067
00:01.914,-1.22,0.12637186894030786,-0.52,9.4,28.99,80.39861064762457
00:01.936,-1.06,0.6150097621761649,-0.23,-32.84,70.92,36.5019571893935
00:01.958,-1.08,0.6065849709134776,-0.18,-44.01,87.1,72.36024648494082
00:01.980,-1.27,0.23589415535524136,-0.24,-43.52,54.63,104.65590883315345
00:02.002,-1.34,0.042123956313435955,-0.21,-62.56,32.29,64.91315864334834
00:02.024,-1.23,0.02527437378806157,-0.3,-57.56,12.02,36.63667837647759
00:02.046,-1.06,0.05054874757612314,-0.39,-24.9,0.49,37.961436716137754
00:02.068,-0.97,0.06739833010149753,-0.42,3.48,15.75,36.81630662592303
00:02.090,-1.02,0.0,0.0,0.0,0.0,0.0
