timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
00:00.000,-0.95,0.03669478151888652,-0.09,-12.57,7.87,19.44076927526921
00:00.022,-0.96,0.08072851934155034,-0.1,-19.47,11.78,21.31874157774885
00:00.044,-1.02,0.1394401697717688,-0.12,-29.17,13.49,19.162829374502227
00:00.066,-1.06,0.1394401697717688,-0.14,-31.19,9.7,14.445362950673376
00:00.088,-1.07,0.05137269412644113,-0.16,-21.42,1.34,7.339115758090425
00:00.109,-1.09,-0.007338956303777304,-0.2,5.0,-5.68,-3.9437418352072395
00:00.131,-1.09,0.02201686891133191,-0.21,32.96,-11.96,-16.090466687645538
00:00.153,-1.06,0.13210121346799147,-0.24,39.67,-18.68,-23.474653780995475
00:00.175,-1.01,0.1834739075944326,-0.27,36.99,-21.06,-24.300961594086516
00:00.197,-1.0,0.1541180823793234,-0.32,34.12,-22.71,-23.797665017021973
00:00.219,-1.04,0.08072851934155034,-0.35,38.88,-31.98,-31.129268885902476
00:00.241,-1.11,0.08806747564532764,-0.42,67.08,-42.85,-46.58122499070494
00:00.263,-1.19,0.20549077650576453,-0.43,96.07,-51.39,-64.73746121107808
00:00.286,-1.23,0.337591989973756,-0.38,104.68,-66.83,-84.41109905185478
00:00.308,-1.16,0.3669478151888652,-0.36,98.33,-77.21,-95.68644475594252
00:00.330,-1.08,0.38162572779641984,-0.31,75.26,-78.67,-98.71373610753969
00:00.352,-1.13,0.3596088588850879,-0.44,90.27,-87.52,-111.59662610255
00:00.374,-1.18,0.45501529083419284,-0.39,106.63,-84.9,-139.19530705979076
00:00.396,-1.17,0.6384891984286255,-0.35,91.61,-93.69,-154.92520306536022
00:00.418,-1.02,0.748573542985285,-0.39,65.73,-97.35,-159.55252681867006
00:00.440,-0.89,0.7192177177701758,-0.42,44.07,-81.67,-156.16466478499677
00:00.462,-0.95,0.6825229362512893,-0.4,42.72,-71.35,-153.64067001046413
00:00.484,-0.97,0.6458281547324027,-0.39,52.25,-80.32,-163.5413399891368
00:00.506,-0.88,0.6384891984286255,-0.34,77.03,-80.81,-175.6505053955255
00:00.528,-0.8,0.7118787614663985,-0.26,100.71,-76.72,-186.4676258578082
00:00.550,-0.7,0.7999462371117262,-0.19,108.7,-74.04,-195.59457124785925
00:00.572,-0.59,0.8659968438457218,-0.16,116.15,-59.88,-196.55609306672883
00:00.594,-0.48,0.917369537972163,-0.09,95.28,-41.81,-195.0837627815848
00:00.616,-0.45,0.9467253631872723,-0.07,49.26,-34.73,-193.48373037987213
00:00.638,-0.24,0.792607280807949,-0.11,32.96,-24.11,-177.29560913249767
00:00.660,-0.09,0.6898618925550666,-0.14,20.39,-21.91,-164.9160157145519
00:00.682,0.05,0.7265566740739531,-0.15,9.03,-7.26,-160.7018458677876
00:00.704,0.08,0.792607280807949,-0.11,3.66,11.54,-154.92520306536022
00:00.726,0.06,0.748573542985285,-0.08,5.07,11.47,-139.84132953184377
00:00.748,0.12,0.7118787614663985,-0.06,2.32,-2.2,-133.32852158684437
00:00.770,0.2,0.7559124992890623,-0.12,-12.33,0.0,-136.94925218602512
00:00.792,0.21,0.7852683245041716,-0.15,-24.9,15.93,-131.99891719668878
00:00.814,0.16,0.6825229362512893,-0.15,-24.72,14.71,-117.7864228115229
00:00.836,0.13,0.5650996353908524,-0.19,-11.66,4.09,-114.71406012466622
00:00.858,0.18,0.5357438101757432,-0.19,-0.31,-6.53,-123.65320828446929
00:00.880,0.31,0.5284048538719659,-0.15,3.54,-15.14,-125.1180266804034
00:00.902,0.42,0.4843711160493021,-0.13,10.07,-17.46,-113.24924172873209
00:00.924,0.53,0.41098155301152905,-0.11,15.2,-14.28,-99.99826916243576
00:00.946,0.64,0.3963036404039745,-0.08,11.96,-11.6,-94.03382912976043
00:00.968,0.64,0.3669478151888652,-0.1,2.62,6.35,-82.30025818386765
00:00.990,0.51,0.27154138323976024,-0.06,4.15,3.48,-55.88845572179403
00:01.012,0.46,0.1761349512906553,-0.06,8.91,-19.17,-23.384511110476453
00:01.034,0.51,0.09540643194910496,-0.08,5.55,-28.26,-4.679906977779258
00:01.056,0.57,-0.09540643194910496,-0.09,37.17,-26.0,6.971033186804416
00:01.078,0.42,-0.23484660172087374,-0.09,74.89,-42.18,97.51934572316263
00:01.100,0.6,0.058711650430218434,0.06,39.79,-24.05,60.110137457768246
00:01.122,0.33,-0.32291407736620137,0.01,114.62,19.53,-31.542422792448
00:01.144,0.7,0.03669478151888652,0.08,114.14,19.47,-3.6658019344402533
00:01.166,0.38,0.22016868911331913,0.15,72.08,36.5,-33.14996708337057
00:01.188,0.32,0.2788803395435376,0.06,-24.72,11.9,-55.618027710236966
00:01.210,0.37,0.24952451432842837,0.05,-101.81,-15.5,-24.623972830113015
00:01.232,0.52,0.12476225716421419,0.03,-142.33,-18.92,27.23059838595475
00:01.254,0.64,-0.014677912607554609,-0.01,-124.57,-4.7,64.87267521685662
00:01.276,0.58,-0.03669478151888652,0.0,-57.8,33.2,85.50783487650287
00:01.298,0.45,0.06605060673399574,-0.04,3.72,44.19,105.17396082806964
00:01.320,0.39,0.27154138323976024,0.0,34.42,52.49,123.42785160817172
00:01.342,0.28,0.4917100723530794,0.02,33.87,70.5,128.42325793276757
00:01.364,0.18,0.6238112858210708,0.08,10.19,60.73,121.03907083941762
00:01.386,0.22,0.6605060673399574,0.09,-22.4,51.39,125.85419182297541
00:01.408,0.18,0.675183979947512,-0.05,-39.06,62.99,149.51664283421886
00:01.430,0.06,0.6458281547324027,0.0,-42.24,90.21,162.30187826950024
00:01.452,-0.03,0.5650996353908524,0.02,-35.83,85.33,162.62488950552674
00:01.474,-0.09,0.6164723295172936,-0.3,-3.11,70.92,160.28869196124205
00:01.496,-0.09,0.7705904118966169,-0.18,15.08,85.27,157.9524944169574
00:01.518,-0.23,0.792607280807949,-0.04,1.16,93.51,161.79858169243568
00:01.540,-0.37,0.7412345866815078,-0.19,7.57,65.73,171.97719157187532
00:01.562,-0.34,0.7999462371117262,-0.16,7.08,64.15,170.05414793413618
00:01.584,-0.39,0.8733358001494992,-0.31,-14.04,66.16,168.54425820294256
00:01.606,-0.45,0.9320474505797176,-0.45,-34.06,79.71,175.37256549475853
00:01.628,-0.5,0.8513189312381673,-0.22,-69.58,97.78,176.52188454387607
00:01.650,-0.75,0.7265566740739531,-0.19,-81.24,92.35,183.48540584147054
00:01.672,-0.97,0.8293020623268353,-0.49,-63.96,68.36,187.33900500615874
00:01.694,-0.97,0.8806747564532765,-0.44,-71.96,66.65,147.40580196623173
00:01.716,-0.92,0.7852683245041716,-0.37,-84.78,62.07,135.61964779586953
00:01.738,-0.92,0.6825229362512893,-0.37,-76.05,64.82,152.31106562030854
00:01.760,-1.02,0.6091333732135162,-0.39,-69.03,80.57,137.5952746580781
00:01.782,-1.16,0.5944554606059617,-0.35,-77.27,68.24,128.6486146090651
00:01.804,-1.17,0.5871165043021843,-0.38,-87.34,53.65,122.18838988853517
00:01.826,-1.11,0.5650996353908524,-0.35,-108.52,47.67,111.5515547672905
00:01.848,-1.09,0.45501529083419284,-0.29,-128.05,47.91,111.2736148665235
00:01.870,-1.17,0.1394401697717688,-0.36,-79.96,30.09,122.51140112456167
00:01.892,-1.27,-0.1761349512906553,-0.57,26.79,-6.53,128.5584719385461
00:01.914,-1.22,0.11008434455665957,-0.52,9.4,28.99,80.69271389294508
00:01.936,-1.06,0.5357438101757432,-0.23,-32.84,70.92,36.63548367677278
00:01.958,-1.08,0.5284048538719659,-0.18,-44.01,87.1,72.62494488149257
00:01.980,-1.27,0.20549077650576453,-0.24,-43.52,54.63,105.03874682229112
00:02.002,-1.34,0.03669478151888652,-0.21,-62.56,32.29,65.1506151176236
00:02.024,-1.23,0.02201686891133191,-0.3,-57.56,12.02,36.770697682551315
00:02.046,-1.06,0.04403373782266382,-0.39,-24.9,0.49,38.100302072706896
00:02.068,-0.97,0.058711650430218434,-0.42,3.48,15.75,36.95098302358935
00:02.090,-1.02,0.0,0.0,0.0,0.0,0.0
