timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
00:01.078,0.502409769898273,-0.24245569411401235,-0.05525216712438811,59.68288872609334,-33.94666944348615,74.19538687561992
00:01.100,0.5289903157980848,-0.10655972528840926,-0.01902581828911261,59.193115178947636,-32.18805187659861,105.6407730594674
00:01.122,0.4500647021067694,-0.2248882133742125,0.04476975267146398,81.4060971138233,-1.7764721377247474,18.145765954606855
00:01.144,0.507893787929892,-0.21357533285391397,0.01707837920452681,119.53608123715325,19.14602136314236,-23.85101026521167
00:01.166,0.5092253358705134,0.1748444574561208,0.12089339836486186,97.7318516822413,27.360180746922374,-24.49369790781259
00:01.188,0.3591770269723687,0.347211896796037,0.06341234592185915,26.706600402875612,24.2621495561039,-59.40916425977003
00:01.210,0.3576924527412997,0.35227309093134096,0.049158658747443566,-63.78665045475968,-0.971761684918202,-55.49735824316939
00:01.232,0.4326544269803078,0.2786771218606065,0.0394892073850086,-125.91088349021075,-16.799837082858563,-0.8857655584454955
00:01.254,0.545818276387458,0.0739663404231999,0.02134521846897775,-140.30559050333315,-12.282662187608585,59.869623838058004
00:01.276,0.5628349713678404,-0.006193025460733058,-0.0036176184255497304,-99.29806749461669,11.811658516582924,100.08921421536463
00:01.298,0.4959613572184195,0.02176398518016557,-0.03216231268462286,-32.603474803866874,37.28948024251621,127.12494543506483
00:01.320,0.41623032019857625,0.23636476058011147,-0.009976302383903991,17.511922482535933,46.87017530589925,152.68019214663275
00:01.342,0.3285938693528793,0.5281241772854253,0.01802151876203198,35.75406080624427,58.89537299850981,169.72257994099573
00:01.364,0.21438673944489978,0.7425760668478043,0.05823907714505819,25.357249564720235,65.37985004484814,169.64730431084817
00:01.386,0.2060982378857908,0.8805241598722818,0.05984769906863577,-2.7725912014107785,56.04187444854301,166.31719377841478
00:01.408,0.21857725091463456,0.9518632480817064,0.021118476415862057,-30.116400129033455,54.879476123007684,182.52070897600356
00:01.430,0.1049801879793709,0.905521630791357,-0.008308596683752905,-42.0262123886617,71.90054347850705,208.72281865382945
00:01.452,0.03129522845044719,0.8540364063786652,0.016610696264390087,-41.65460880247107,86.85263460920824,219.67709857503925
00:01.474,-0.02119801713679449,0.7830444823421752,-0.09972672716682089,-25.289522420967206,78.76072896207523,218.81463011311897
00:01.496,-0.08701957147044594,0.9608490754414168,-0.23824768967490526,3.3035604930289053,74.54862813346126,215.7275479515086
00:01.518,-0.14444940951850965,1.0652014524789262,-0.13347239244326528,10.858826259153538,86.44198438451953,215.40226097080506
00:01.540,-0.29089307672959047,1.0636686418922787,-0.09442176061621209,3.419677734139422,82.96688737966808,223.31545759366495
00:01.562,-0.3408687643778363,1.0015645010966108,-0.18506821633962378,7.719902040975083,64.09625918297208,231.80941323870982
00:01.584,-0.3437136084783248,1.1661563824388692,-0.20515682997364892,0.5965810273121359,63.61080563659631,229.3721111101877
00:01.606,-0.39772584106890874,1.2308255387231397,-0.32648612933163484,-20.899391447593022,68.9687710857551,230.74987634727097
00:01.628,-0.41077529255282264,1.2729840702988333,-0.37981564219874286,-46.27751163032823,83.40828216736172,237.6783113449145
00:01.650,-0.580384796077577,1.107393473077052,-0.2043282987081276,-76.08988966104567,94.57041711989213,241.3847411983065
00:01.672,-0.8105328146323489,1.0327215844561313,-0.23472798939857958,-80.07361140695924,84.32473043374306,249.57033024377876
00:01.694,-1.0028859013620113,1.1266390066514116,-0.418113368839329,-69.02367619036188,66.71845253118273,239.34651359462168
00:01.716,-0.9265510416342004,1.187939363766983,-0.4320305030471437,-78.56359111353296,64.34446703471181,195.3718295823516
00:01.738,-0.9295760312571402,1.0759328040605818,-0.3777205695429788,-86.39890660768324,61.6197396525371,188.85684821083817
00:01.760,-0.9331956507070989,0.900297456121643,-0.3619773149733757,-77.7662762569554,67.2592879245807,201.41777541431588
00:01.782,-1.035854853302968,0.8546543969434358,-0.3745246611404079,-74.04572043573609,76.47813039250335,183.46397455984135
