timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
00:00.000,-0.95,0.0402768492774444,-0.09,-12.57,7.87,17.33420365344889
00:00.022,-0.96,0.08860906841037766,-0.1,-19.47,11.78,19.008682368040162
00:00.044,-1.02,0.1530520272542887,-0.12,-29.17,13.49,17.08638080368938
00:00.066,-1.06,0.1530520272542887,-0.14,-31.19,9.7,12.880090272636094
00:00.088,-1.07,0.05638758898842216,-0.16,-21.42,1.34,6.543862816622706
00:00.109,-1.09,-0.008055369855488879,-0.2,5.0,-5.68,-3.5164053006416793
00:00.131,-1.09,0.024166109566466636,-0.21,32.96,-11.96,-14.346933626618053
00:00.153,-1.06,0.1449966573987998,-0.24,39.67,-18.68,-20.930983932390948
00:00.175,-1.01,0.20138424638722197,-0.27,36.99,-21.06,-21.667754566811112
00:00.197,-1.0,0.16916276696526644,-0.32,34.12,-22.71,-21.218994271300648
00:00.219,-1.04,0.08860906841037766,-0.35,38.88,-31.98,-27.75615917306499
00:00.241,-1.11,0.09666443826586654,-0.42,67.08,-42.85,-41.53377003672201
00:00.263,-1.19,0.22555035595368864,-0.43,96.07,-51.39,-57.72263024939047
00:00.286,-1.23,0.3705470133524884,-0.38,104.68,-66.83,-75.26446926344867
00:00.308,-1.16,0.40276849277444393,-0.36,98.33,-77.21,-85.3180394658547
00:00.330,-1.08,0.4188792324854217,-0.31,75.26,-78.67,-88.01729915377582
00:00.352,-1.13,0.39471312291895505,-0.44,90.27,-87.52,-99.50422313587198
00:00.374,-1.18,0.49943293104031045,-0.39,106.63,-84.9,-124.11236232550539
00:00.396,-1.17,0.7008171774275325,-0.35,91.61,-93.69,-138.13779603892192
00:00.418,-1.02,0.8216477252598656,-0.39,65.73,-97.35,-142.26371159167482
00:00.440,-0.89,0.7894262458379101,-0.42,44.07,-81.67,-139.24295199055214
00:00.462,-0.95,0.7491493965604658,-0.4,42.72,-71.35,-136.99245259814148
00:00.484,-0.97,0.7088725472830213,-0.39,52.25,-80.32,-145.82030438146668
00:00.506,-0.88,0.7008171774275325,-0.34,77.03,-80.81,-156.61734313315122
